ID,Work Item Type,Title,Test Step,Step Action,Step Expected
,"Test Case","TC07001 - Indicating the battery level of the scanner",,,
,,,"1","Setup: Enter the Scan step.
Emulate the battery level or manually reach it.

Requirement(s): n/a","n/a

Test Method/Objective Evidence: n/a"
,,,"2","Charge or discharge the battery to reach a level between 81% and 100%.
Inspect the Scanner State toolkit.

Requirement(s): 6877_012, 6877_013","The scanner battery level is shown as a percentage.
The battery icon indicates the battery is completely charged.

Test Method/Objective Evidence: Observation / Screenshot"
,,,"3","Start scanning.

Requirement(s): 6877_012, 6877_013","The battery level and the icon are still displayed.

Test Method/Objective Evidence: Observation / Result documentation"
,,,"4","Charge or discharge the battery to reach a level between 51% and 80%.
Inspect the Scanner State toolkit.

Requirement(s): 6877_012, 6877_013","The scanner battery level is displayed as a percentage.
The battery icon indicates a battery partially filled (more than half).

Test Method/Objective Evidence: Observation / Screenshot"
,,,"5","Start scanning.

Requirement(s): 6877_012, 6877_013","The battery level and the icon are still displayed.

Test Method/Objective Evidence: Observation / Result documentation"
,,,"6","Charge or discharge the battery to reach a level between 21% and 50%.
Inspect the Scanner State toolkit.

Requirement(s): 6877_012, 6877_013","The scanner battery level is displayed as a percentage.
The battery icon indicates a battery partially filled (less than half).

Test Method/Objective Evidence: Observation / Screenshot"
,,,"7","Start scanning.

Requirement(s): 6877_012, 6877_013","The battery level and the icon are still displayed.

Test Method/Objective Evidence: Observation / Result documentation"
,,,"8","Charge or discharge the battery to reach a level between 1% and 20%.
Inspect the Scanner State toolkit.

Requirement(s): 6877_012, 6877_013","The scanner battery level is displayed as a percentage.
The battery icon indicates a low battery (warning).

Test Method/Objective Evidence: Observation / Screenshot"
,,,"9","Start scanning.

Requirement(s): 6877_012, 6877_013","The battery level and the icon are still displayed.

Test Method/Objective Evidence: Observation / Result documentation"
,,,"10","Disconnect the scanner.

Requirement(s): 6877_012, 6877_013","The scanner is disconnected.
The battery level and the icon are no longer shown.

Test Method/Objective Evidence: Observation / Screenshot"
,"Test Case","TC07002 - Indicating the scanner is charging",,,
,,,"1","Setup: The user is in the Scan step.
A scanner is connected.
The scanner stand is plugged in.

Requirement(s): n/a","n/a

Test Method/Objective Evidence: n/a"
,,,"2","Put the scanner on the holder.

Requirement(s): 6877_013, 6877_014","The scanner starts charging.
The scanner battery level percentage is displayed.
The battery icon indicates that the battery is charging.

Test Method/Objective Evidence: Observation / Screenshot"
,"Test Case","TC07003 - No scanner is detected - Manual connection (First time use)",,,
,,,"1","Setup: New database.
Have no available scanner available.

Requirement(s): n/a","n/a

Test Method/Objective Evidence: n/a"
,,,"2","Go to the scan step.

Requirement(s): 6877_019","The Scanner State toolkit displays the detection guidance screens for 16 seconds.

Test Method/Objective Evidence: Observation / Screenshot"
,,,"3","Wait 16 seconds.

Requirement(s): 6877_017","The Scanner State toolkit indicates that no scanner has been detected.

Test Method/Objective Evidence: Observation / Screenshot"
,"Test Case","TC07004 - The scanner is detected - Manual connection (First time use)",,,
,,,"1","Setup: New database.
Several scanners are available.

Requirement(s): n/a","n/a

Test Method/Objective Evidence: n/a"
,,,"2","Go to the scan step.

Requirement(s): 6877_001, 6877_002","The Scanner State toolkit displays the list of available scanners around .
No scanner in the list is marked as  “Last used”.

Test Method/Objective Evidence: Observation / Screenshot"
,,,"3","Select a scanner to connect from the list.

Requirement(s): 6877_018","The Scanner State toolkit briefly indicates that the software is connecting to the selected scanner.
The scanner connects and is ready to scan.

Test Method/Objective Evidence: Observation / Screenshot"
,"Test Case","TC07005 - The last used scanner is not detected – Automatic connection",,,
,,,"1","Setup: Have already connected scanner A to the software.
Have scanner A and a scanner B in proximity, both turned-off.

Requirement(s): n/a","Indicate the ID of scanners A and B

Test Method/Objective Evidence: n/a"
,,,"2","Go to the scan step.

Requirement(s): 6877_019","The Scanner State toolkit displays the detection guidance screens for 16 seconds.

Test Method/Objective Evidence: Observation / Result documentation"
,,,"3","Wait 16 seconds.

Requirement(s): 6877_017","The Scanner State toolkit indicates that no scanner has been detected.

Test Method/Objective Evidence: Observation / Result documentation"
,,,"4","Turn-on scanner B.

Requirement(s): 6877_002, 6877_003, 6877_007","The Scanner State toolkit displays the list of available scanners (scanner B).
The scanner B should not be shown as last used.

Test Method/Objective Evidence: Observation / Screenshot"
,"Test Case","TC07006 - The last used scanner is detected – Automatic connection",,,
,,,"1","Setup: Have already connected scanner A and then scanner B to the software (in that order).
Have scanner A and a scanner B in proximity, both turned-on.

Requirement(s): n/a","n/a

Test Method/Objective Evidence: n/a"
,,,"2","Go to the scan step.

Requirement(s): 6877_006","The software should automatically connect to scanner B.
The Scanner State toolkit indicates that the scanner is connected and ready to scan.

Test Method/Objective Evidence: Observation / Screenshot"
,,,"3","Navigate through the different Scan views (Lower, Upper).

Requirement(s): 6877_006","The scanner stays connected.

Test Method/Objective Evidence: Observation / Result documentation"
,"Test Case","TC07007 - Manual disconnection of the last used scanner – Automatic connection",,,
,,,"1","Setup: Enter the Scan step and connect to a scanner.

Requirement(s): n/a","n/a

Test Method/Objective Evidence: n/a"
